Type,Place,Year,Foreign Number,Foreign Income,Local Number,Local Income
Conservation Forest,Hurulu Eco Park,2022,60167.666666666664,94906060.66666666,36177.333333333336,5379177.0
Conservation Forest,Kande Ela Forest,2022,0.0,0.0,247.33333333333334,8896.0
Conservation Forest,Kande Ela Nuwara Eliya,2022,0.0,0.0,0.0,0.0
Conservation Forest,Kanneliya Conservation Forest,2022,1440.0,1343707.3333333335,28812.333333333336,1877145.0
Conservation Forest,Knuckles Conservation Forest,2022,12151.666666666666,2140312.0,94869.0,5103819.0
Conservation Forest,Kottawa Conservation Forest,2022,146.0,82888.66666666666,1089.6666666666667,55577.0
Conservation Forest,Kurulukele,2022,0.0,0.0,1176.6666666666667,63326.666666666664
Conservation Forest,Makandawa Conservation Forest,2022,371.3333333333333,274435.3333333333,994.0,53452.0
Conservation Forest,Mandaramnuwara,2022,0.0,0.0,0.0,0.0
Conservation Forest,Nuwaragala,2022,0.0,0.0,0.0,0.0
Conservation Forest,Piduruthalagala,2022,0.0,0.0,0.0,0.0
Conservation Forest,Rathna Ella,2022,425.6666666666667,314662.0,3719.0,215910.0
Conservation Forest,Rathna Ella (Kandy),2022,0.0,0.0,0.0,0.0
Conservation Forest,Sinharaja Conservation Forest,2022,10045.666666666668,9326626.0,37216.333333333336,3384107.6666666665
Conservation Forest,Udawattakele Conservation Forest,2022,3897.3333333333335,3034234.6666666665,18153.0,910972.3333333334
Conservation Forest,Yahangala,2022,0.0,0.0,0.0,0.0
